model,dataset,condition,layer,head,entropy_clean,entropy_noisy,entropy_delta,query_mass_clean,query_mass_noisy,query_mass_delta
llama,squad,noise_1_character,0,19,1.431730529665947,1.4458506464958192,0.014120116829872131,0.026784205436706544,0.02689439058303833,0.0001101851463317871
llama,squad,noise_1_character,0,20,2.496890515089035,2.5220798552036285,0.025189340114593506,0.2130748748779297,0.21670303344726563,0.0036281585693359376
llama,squad,noise_1_character,0,21,2.3258783280849458,2.3392172396183013,0.013338911533355712,0.04600921869277954,0.042263063788414004,-0.0037461549043655397
llama,squad,noise_1_character,0,22,2.1825584322214127,2.2112021803855897,0.02864374816417694,0.06242272853851318,0.05728180408477783,-0.005140924453735351
llama,squad,noise_1_character,0,23,3.5211945176124573,3.539704465866089,0.018509948253631593,0.27292404174804685,0.2742790222167969,0.00135498046875
llama,squad,noise_1_character,0,24,2.524207991361618,2.5454993665218355,0.021291375160217285,0.26688237190246583,0.2637446165084839,-0.0031377553939819338
llama,squad,noise_1_character,0,25,2.8318082273006437,2.851251995563507,0.01944376826286316,0.2970771789550781,0.29307985305786133,-0.003997325897216797
llama,squad,noise_1_character,0,26,2.7337933778762817,2.7503784239292144,0.01658504605293274,0.11068573594093323,0.10634952783584595,-0.00433620810508728
llama,squad,noise_1_character,0,27,2.85670827627182,2.873278868198395,0.01657059192657471,0.20613784790039064,0.21216821670532227,0.006030368804931641
llama,squad,noise_1_character,0,28,1.6021809995174408,1.6042640596628188,0.0020830601453781126,0.06659612655639649,0.06907705068588257,0.002480924129486084
llama,squad,noise_1_character,0,29,0.6862559452652931,0.6983231745660305,0.012067229300737382,0.0019616266567027197,0.003168216219637543,0.0012065895629348234
llama,squad,noise_1_character,0,30,0.663115905225277,0.6687689632177353,0.005653057992458343,0.004714487423188985,0.004323238134384155,-0.0003912492888048291
llama,squad,noise_1_character,0,31,0.028373356859810885,0.028806017373608484,0.0004326605137976003,0.0001100764931220466,0.00010315535496872031,-6.921138153326289e-06
llama,squad,noise_1_character,1,0,1.0757256686687469,1.0959338009357453,0.02020813226699829,0.02795298397541046,0.022542130947113038,-0.0054108530282974245
llama,squad,noise_1_character,1,1,0.847703930735588,0.8444402635097503,-0.0032636672258377075,0.014651094377040864,0.012739208340644837,-0.0019118860363960266
llama,squad,noise_1_character,1,2,0.9953350991010665,0.9848066121339798,-0.010528486967086793,0.08850727081298829,0.08114604949951172,-0.007361221313476563
llama,squad,noise_1_character,1,3,1.179261901974678,1.1663879752159119,-0.012873926758766174,0.03055112361907959,0.025522422790527344,-0.0050287008285522464
llama,squad,noise_1_character,1,4,0.5926388263702392,0.5966805785894393,0.004041752219200135,0.0012881670147180558,0.0012222301214933396,-6.593689322471618e-05
llama,squad,noise_1_character,1,5,0.5305296376347541,0.5305626660585403,3.302842378616333e-05,0.029800596088171004,0.025491853058338166,-0.00430874302983284
